tempo,mfccs_mean,mfccs_std,emotion
80.74951171875,"[-147.21152      89.008125      4.9353414    38.7017       11.531665
    8.554083      1.131236      8.218703     -3.1139705     3.0528417
   -3.256548      5.32718      -0.68647176]","[46.63805   19.105215  10.331327   7.097992   5.4676495  5.2621226
  5.2668886  5.8685374  8.333758   7.488936   7.3787904  9.953212
 10.53204  ]",angry
103.359375,"[-166.36864     117.68808      10.628747     22.446167      9.6131525
   10.158963      0.9479078     9.703478      1.0589586     6.528663
   -0.38604322    6.4605465    -1.7142365 ]","[59.756706  36.053238  17.444841   8.833632   9.953059   8.714421
  7.849528   7.8976803  6.9691787  6.3041697  6.5953236  6.811365
  6.5277114]",angry
112.34714673913044,"[-138.57072     128.8788       36.328        37.79734       1.0418288
   18.93154       2.2840624     6.933573     -0.23399736   -2.38679
    0.8416978     5.6063766     0.3251211 ]","[89.10358   39.18026   32.95575   13.396067  12.136705   9.9284115
  8.824953   7.190163   7.0639067  8.606987   6.837666   6.992189
  6.990581 ]",angry
161.4990234375,"[-210.63907    168.56688    -37.405228    40.458744     4.9923377
    9.439187     2.968389    13.086802    -5.4759326   14.183146
   -4.45958      8.585166    -1.4025569]","[46.325947  18.489588  18.578173  10.259155   9.260356  11.899343
 10.941539   8.376457   7.5365915  5.798482   6.68299    6.472432
  5.8342633]",angry
89.10290948275862,"[-78.0798     133.1776      -5.2552915   21.484772     7.4189186
   5.547715     0.9256204    7.2959013    0.82925004   5.2898407
  -1.631878     4.296255     1.7549906 ]","[36.88568   24.785183  17.820465  10.534078   7.467258   5.1495824
  5.4076514  4.3640184  4.5099473  4.195261   4.037423   4.377599
  4.9877954]",angry
107.666015625,"[-134.14066    129.70052      8.439173    22.701649    17.748697
    5.494935     8.234909     5.238995     1.1158583    3.8235703
   -5.289101     0.8027862   -2.7014935]","[32.473698  17.567293   8.397451   5.5319653  6.539545   7.6482673
  6.58524    7.022481   5.6070013  5.192472   5.5672317  6.2300034
  4.8486333]",angry
135.99917763157896,"[-144.30853     118.58491       3.490671     19.483511      1.787501
    8.05095       0.28930885    6.057802     -4.057441      5.1229806
   -7.375358      3.3272822    -4.9342976 ]","[50.725006  19.658382   9.84207    8.688644   6.8025007  5.7363014
  5.7630296  6.5361247  5.1452227  4.9269743  4.866017   4.5999107
  4.774693 ]",angry
99.38401442307692,"[-1.8633241e+02  1.4952055e+02 -1.4742335e+01  4.1726410e+01
 -1.1368046e+01  1.7461166e+01  6.2831986e-01  1.1758600e+01
 -2.6463709e+00  8.4780998e+00 -1.6935537e+01  5.1334124e+00
 -1.4812595e-01]","[53.390198 37.29549  12.779761 12.26065  14.324788 10.571189 10.917984
  8.858518  9.353942 10.271144 10.242584  8.985515  8.950787]",angry
107.666015625,"[-106.52324     121.19129       1.0023502    20.139084      3.5254495
    6.64591      -2.0552034     3.03761      -3.2687304     0.93682396
   -5.227135      1.9419746    -3.629392  ]","[33.05891   18.159672   8.938486   6.1882973  5.3064218  5.1317368
  5.4128647  5.1542006  4.7836804  4.077538   4.6177974  4.1592298
  4.020448 ]",angry
107.666015625,"[-82.54288   113.74758   -15.494156   51.69557     4.0431366  13.311869
  14.557533   15.316986   -5.9345264  10.418528    1.1489869   3.3433168
   2.1858468]","[33.78206   22.985481  11.005276   7.8507023  5.1627355  4.64085
  5.829444   5.7704053  5.1478558  5.2457814  4.9190564  5.176563
  5.296485 ]",angry
